,Tanggal,Rataan Ketinggian Air Laut
833,2023-04-14,187.625
834,2023-04-15,195.125
835,2023-04-16,192.08333333333334
836,2023-04-17,194.20833333333334
837,2023-04-18,198.125
838,2023-04-19,202.54166666666666
839,2023-04-20,206.83333333333334
840,2023-04-21,204.04166666666666
841,2023-04-22,205.125
842,2023-04-23,209.95833333333334
843,2023-04-24,210.29166666666666
844,2023-04-25,208.91666666666666
845,2023-04-26,203.45833333333334
846,2023-04-27,206.0
847,2023-04-28,204.70833333333334
848,2023-04-29,203.0
849,2023-04-30,200.95833333333334
850,2023-05-01,207.41666666666666
851,2023-05-02,207.33333333333334
852,2023-05-03,211.70833333333334
853,2023-05-04,205.91666666666666
854,2023-05-05,204.91666666666666
855,2023-05-06,208.125
856,2023-05-07,201.125
857,2023-05-08,199.95833333333334
858,2023-05-09,197.25
859,2023-05-10,208.41666666666666
860,2023-05-11,217.875
861,2023-05-12,216.79166666666666
862,2023-05-13,218.375
863,2023-05-14,215.08333333333334
864,2023-05-15,215.875
865,2023-05-16,219.04166666666666
866,2023-05-17,204.20833333333334
867,2023-05-18,185.54166666666666
868,2023-05-19,178.95833333333334
869,2023-05-20,178.91666666666666
870,2023-05-21,184.04166666666666
871,2023-05-22,180.29166666666666
872,2023-05-23,174.66666666666666
873,2023-05-24,178.75
874,2023-05-25,181.08333333333334
875,2023-05-26,179.83333333333334
876,2023-05-27,180.70833333333334
877,2023-05-28,181.91666666666666
878,2023-05-29,180.41666666666666
879,2023-05-30,185.70833333333334
880,2023-05-31,187.20833333333334
